Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Ratings","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P1.0JTR-ND,P1.0JCT-ND,P1.0JDKR-ND","ERJ-2GEJ1R0X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1 OHM 5% 1/10W 0402","232,649","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P1.1JTR-ND,P1.1JCT-ND,P1.1JDKR-ND","ERJ-2GEJ1R1X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.1 OHM 5% 1/10W 0402","11,357","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1.1 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P1.2JTR-ND,P1.2JCT-ND,P1.2JDKR-ND","ERJ-2GEJ1R2X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.2 OHM 5% 1/10W 0402","40,908","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1.2 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P1.3JTR-ND,P1.3JCT-ND,P1.3JDKR-ND","ERJ-2GEJ1R3X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.3 OHM 5% 1/10W 0402","62,877","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1.3 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P1.5JTR-ND,P1.5JCT-ND,P1.5JDKR-ND","ERJ-2GEJ1R5X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.5 OHM 5% 1/10W 0402","40,580","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1.5 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P1.6JTR-ND,P1.6JCT-ND,P1.6JDKR-ND","ERJ-2GEJ1R6X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.6 OHM 5% 1/10W 0402","58,846","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1.6 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P1.8JTR-ND,P1.8JCT-ND,P1.8JDKR-ND","ERJ-2GEJ1R8X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 1.8 OHM 5% 1/10W 0402","42,638","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","1.8 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P2.0JTR-ND,P2.0JCT-ND,P2.0JDKR-ND","ERJ-2GEJ2R0X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2 OHM 5% 1/10W 0402","0","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","2 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P2.2JTR-ND,P2.2JCT-ND,P2.2JDKR-ND","ERJ-2GEJ2R2X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.2 OHM 5% 1/10W 0402","653,956","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","2.2 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
"https://b2b-api.panasonic.eu/file_stream/pids/fileversion/1242","//media.digikey.com/Photos/Panasonic%20Photos/ERJ-PA2-Series.jpg","P2.4JTR-ND,P2.4JCT-ND,P2.4JDKR-ND","ERJ-2GEJ2R4X","Panasonic Electronic Components","Panasonic Electronic Components","RES SMD 2.4 OHM 5% 1/10W 0402","27,070","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ERJ-2G","Active","2.4 Ohms","±5%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","-100/ +600ppm/°C","-55°C ~ 155°C","0402 (1005 Metric)","AEC-Q200","0402","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)","2","-"
