Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","445-173859-2-ND,445-173859-1-ND,445-173859-6-ND","CGA4J2X8R1E224K125AE","TDK Corporation","TDK Corporation","CAP CER 0.22UF 25V X8R 0805","880","0.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.22 µF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","CGA5L3X8R2A224K160AE-ND","CGA5L3X8R2A224K160AE","TDK Corporation","TDK Corporation","CAP CER 0.22UF 100V X8R 1206","0","0.1936","0","2000","Tape & Reel (TR)","CGA","Active","0.22 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","CGA3E3X8R1E154K080AE-ND","CGA3E3X8R1E154K080AE","TDK Corporation","TDK Corporation","CAP CER 0.15UF 25V X8R 0603","0","0.07387","0","4000","Tape & Reel (TR)","CGA","Active","0.15 µF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","CGA4F2X8R1E154K085AE-ND","CGA4F2X8R1E154K085AE","TDK Corporation","TDK Corporation","CAP CER 0.15UF 25V X8R 0805","0","0.07387","0","4000","Tape & Reel (TR)","CGA","Active","0.15 µF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.039"" (1.00mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","CGA4J3X8R1H154K125AE-ND","CGA4J3X8R1H154K125AE","TDK Corporation","TDK Corporation","CAP CER 0.15UF 50V X8R 0805","0","0.10692","0","2000","Tape & Reel (TR)","CGA","Active","0.15 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","CGA5L2X8R2A154K160AE-ND","CGA5L2X8R2A154K160AE","TDK Corporation","TDK Corporation","CAP CER 0.15UF 100V X8R 1206","0","0.16896","0","2000","Tape & Reel (TR)","CGA","Active","0.15 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.075"" (1.90mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173697-2-ND,445-173697-1-ND,445-173697-6-ND","CGA3E3X8R1H104K080AE","TDK Corporation","TDK Corporation","CAP CER 0.1UF 50V X8R 0603","191,149","0.26","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.1 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","445-173677-2-ND,445-173677-1-ND,445-173677-6-ND","CGA4J2X8R1H104K125AE","TDK Corporation","TDK Corporation","CAP CER 0.1UF 50V X8R 0805","42,159","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.1 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-1206-(3216-Metric).jpg","445-173724-2-ND,445-173724-1-ND,445-173724-6-ND","CGA5H2X8R2A104K115AE","TDK Corporation","TDK Corporation","CAP CER 0.1UF 100V X8R 1206","681","0.46","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.1 µF","±10%","100V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","1206 (3216 Metric)","0.126"" L x 0.063"" W (3.20mm x 1.60mm)","-","0.051"" (1.30mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","445-173658-2-ND,445-173658-1-ND,445-173658-6-ND","CGA3E2X8R1E104K080AE","TDK Corporation","TDK Corporation","CAP CER 0.1UF 25V X8R 0603","19,819","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Active","0.1 µF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0805-(2012-Metric).jpg","445-173858-2-ND,445-173858-1-ND,445-173858-6-ND","CGA4J2X8R1H683K125AE","TDK Corporation","TDK Corporation","CAP CER 0.068UF 50V X8R 0805","1,760","0.27","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CGA","Not For New Designs","0.068 µF","±10%","50V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","-","0.059"" (1.50mm)","-","-"
"-","//media.digikey.com/Renders/TDK%20Renders/CGA-Series-0603-(1608-Metric).jpg","CGA3E2X8R1E683K080AE-ND","CGA3E2X8R1E683K080AE","TDK Corporation","TDK Corporation","CAP CER 0.068UF 25V X8R 0603","0","0.0484","0","4000","Tape & Reel (TR)","CGA","Not For New Designs","0.068 µF","±10%","25V","X8R","-55°C ~ 150°C","Soft Termination","AEC-Q200","Automotive, Boardflex Sensitive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.037"" (0.95mm)","-","-"
