Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Ratings","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FG100KTR-ND,RMCF0603FG100KCT-ND,RMCF0603FG100KDKR-ND","RMCF0603FG100K","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 100K OHM 1% 1/10W 0603","352,138","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RMCF","Active","100 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FG150KTR-ND,RMCF0603FG150KCT-ND","RMCF0603FG150K","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 150K OHM 1% 1/10W 0603","161,643","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","RMCF","Active","150 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FG24K0TR-ND,RMCF0603FG24K0CT-ND,RMCF0603FG24K0DKR-ND","RMCF0603FG24K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 24K OHM 1% 1/10W 0603","123,065","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RMCF","Active","24 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FG3K32TR-ND,RMCF0603FG3K32CT-ND","RMCF0603FG3K32","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 3.32K OHM 1% 1/10W 0603","79,340","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","RMCF","Active","3.32 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FG17K8TR-ND,RMCF0603FG17K8CT-ND,RMCF0603FG17K8DKR-ND","RMCF0603FG17K8","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 17.8K OHM 1% 1/10W 0603","65,608","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RMCF","Active","17.8 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FG475RTR-ND,RMCF0603FG475RCT-ND","RMCF0603FG475R","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 475 OHM 1% 1/10W 0603","41,815","0.1","0","1","Tape & Reel (TR),Cut Tape (CT)","RMCF","Active","475 Ohms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FT220KTR-ND,RMCF0603FT220KCT-ND,RMCF0603FT220KDKR-ND","RMCF0603FT220K","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 220K OHM 1% 1/10W 0603","2,852,049","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RMCF","Active","220 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FT5K10TR-ND,RMCF0603FT5K10CT-ND,RMCF0603FT5K10DKR-ND","RMCF0603FT5K10","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 5.1K OHM 1% 1/10W 0603","2,598,328","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RMCF","Active","5.1 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FT330RTR-ND,RMCF0603FT330RCT-ND,RMCF0603FT330RDKR-ND","RMCF0603FT330R","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 330 OHM 1% 1/10W 0603","2,088,231","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RMCF","Active","330 Ohms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
"https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","//media.digikey.com/Renders/Stackpole%20Renders/0603.jpg","RMCF0603FT47K0TR-ND,RMCF0603FT47K0CT-ND,RMCF0603FT47K0DKR-ND","RMCF0603FT47K0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 47K OHM 1% 1/10W 0603","1,808,914","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","RMCF","Active","47 kOhms","±1%","0.1W, 1/10W","Thick Film","Automotive AEC-Q200","±100ppm/°C","-55°C ~ 155°C","0603 (1608 Metric)","AEC-Q200","0603","0.061"" L x 0.031"" W (1.55mm x 0.80mm)","0.022"" (0.55mm)","2","-"
